title,artist,query,spotify_id
Ring The Living Bell,Melanie,artist:melanie track:ring the living bell,184cukNdMvRb7dYIYB50MB
"I Can't Help Myself (Sugar Pie, Honey Bunch)",Donnie Elbert,artist:donnie track:i can't help myself ,62QWnbRPKsoWPBRIn3TXsA
Softly Whispering I Love You,The English Congregation,artist:english track:softly whispering i love you,
Until It's Time For You To Go,Elvis Presley,artist:elvis track:until it's time for you to go,6PGHPtKVes1NcOTcmmWDnz
"Love Me, Love Me Love",Frank Mills,"artist:frank track:love me, love me love",19f7qzLh75UQzTfH4xksw9
The Nickel Song,Melanie,artist:melanie track:the nickel song,0f3efUtG7Ya6uJkmpJ1RRt
(Oh Lord Won't You Buy Me A) Mercedes Benz,Goose Creek Symphony,artist:goose track: mercedes benz,
Diamonds Are Forever,Shirley Bassey,artist:shirley track:diamonds are forever,3Tp3nTswQmMzmQRqZu4iM2
What It Is,The Undisputed Truth,artist:undisputed track:what it is,4RrOiMSxRZPV9Jgr0WaGqJ
Do What You Set Out To Do,Bobby Bland,artist:bobby track:do what you set out to do,5T0C8D7pcJIc9V8PxmQWBm
Mr. Penguin-Pt. I,Lunar Funk,artist:lunar track:mr. penguin-pt. i,
Everyday,John Denver,artist:john track:everyday,6yxobkt0REH26qbM4n9eDC
If We Only Have Love,Dionne Warwicke,artist:dionne track:if we only have love,3bRJCfoe5Tj4KFCaPkoYqk
Son Of My Father,Chicory,artist:chicory track:son of my father,3qf9W9QnzuwtCofZjV8Gb9
Thank God For You Baby,Pacific Gas And Electric,artist:pacific track:thank god for you baby,6B3pKObl0W5VBOtNflUMWM
Let's Stay Together,Al Green,artist:al track:let's stay together,63xdwScd1Ai1GigAwQxE8y
My World,Bee Gees,artist:bee track:my world,51VbUJoYc1TX1e7GPcLhFQ
Handbags And Gladrags,Rod Stewart,artist:rod track:handbags and gladrags,0S9iI1sJn4rctmMKAlB8Zw
Footstompin' Music,Grand Funk Railroad,artist:grand track:footstompin' music,2Htzo9H8K5Kjf6tBoEUVS0
That's What Love Will Make You Do,Little Milton,artist:little track:that's what love will make you do,1AW3odaoNryctebMUlD2tt
Brian's Song,Michel Legrand,artist:michel track:brian's song,4dMYbm1QGwyaxlop28qLcj
Up In Heah,Ike & Tina Turner,artist:ike track:up in heah,01Da7Gqp2RFtQqD3KY5fiE
Rock Me On The Water,Linda Ronstadt,artist:linda track:rock me on the water,50DGEghpwDFdZovHi0nz7K
